ticker,from,to,cik,series,status
CSGP,2022-09-19,,0001057352,yahoo:CSGP,ok
CMG,2011-04-28,,0001058090,yahoo:CMG,ok
CTSH,2009-01-01,,0001058290,yahoo:CTSH,ok
MCO,2009-01-01,,0001059556,yahoo:MCO,ok
RSG,2009-01-01,,0001060391,yahoo:RSG,ok
BTUUQ,2009-01-01,2014-09-21,0001064728,,no_price
EBAY,2009-01-01,,0001065088,yahoo:EBAY,ok
NFLX,2010-12-20,,0001065280,yahoo:NFLX,ok
LKQ,2016-05-23,2025-12-21,0001065696,yahoo:LKQ,ok
EP,2009-01-01,2012-05-24,0001066107,yahoo:EP,ok
URI,2014-09-22,,0001067701,yahoo:URI,ok
AXON,2023-05-04,,0001069183,yahoo:AXON,ok
LII,2024-12-23,,0001069202,yahoo:LII,ok
CNX,2009-01-01,2016-03-03,0001070412,yahoo:CNX,ok
LIFE,2009-01-01,2014-01-23,0001073431,,no_price
BKNG,2009-11-06,,0001075531,yahoo:BKNG,ok
PBG,2009-01-01,2010-02-28,0001076405,yahoo:PBG,ok
AKAM,2009-01-01,,0001086222,yahoo:AKAM,ok
RHT,2009-07-27,2019-07-14,0001087423,tiingo:RHT,ok
DVN,2009-01-01,,0001090012,yahoo:DVN,ok
UPS,2009-01-01,,0001090727,yahoo:UPS,ok
A,2009-01-01,,0001090872,yahoo:A,ok
CHTR,2016-09-08,,0001091667,yahoo:CHTR,ok
DXCM,2020-05-12,,0001093557,yahoo:DXCM,ok
PGN,2009-01-01,2012-07-01,0001094093,,no_price
TDY,2020-06-22,,0001094285,yahoo:TDY,ok
ALGN,2017-06-19,,0001097149,yahoo:ALGN,ok
ON,2022-06-21,,0001097864,yahoo:ON,ok
EW,2011-04-01,,0001099800,yahoo:EW,ok
CRL,2021-05-14,,0001100682,yahoo:CRL,ok
MDLZ,2009-01-01,,0001103982,yahoo:MDLZ,ok
TWX,2009-01-01,2018-06-14,0001105705,yahoo:TWX,ok
CRM,2009-01-01,,0001108524,yahoo:CRM,ok
QEP,2010-07-01,2013-05-08,0001108827,tiingo:QEP,ok
QEP,2013-05-09,2015-06-30,0001108827,tiingo:QEP,ok
EXC,2009-01-01,,0001109357,yahoo:EXC,ok
MON,2009-01-01,2018-06-06,0001110783,,no_price
ILMN,2015-11-19,2024-06-23,0001110803,yahoo:ILMN,ok
NI,2009-01-01,,0001111711,yahoo:NI,ok
IPGP,2018-03-07,2022-06-20,0001111928,yahoo:IPGP,ok
DNB,2009-01-01,2017-04-04,0001115222,,no_price
TPR,2009-01-01,,0001116132,yahoo:TPR,ok
GRMN,2012-12-12,,0001121788,yahoo:GRMN,ok
GPN,2016-04-25,,0001123360,yahoo:GPN,ok
FLR,2009-01-01,2019-06-02,0001124198,yahoo:FLR,ok
CNP,2009-01-01,,0001130310,yahoo:CNP,ok
FRC,2019-01-02,2023-05-03,0001132979,,no_price
NOC,2009-01-01,,0001133421,yahoo:NOC,ok
FTI,2009-06-05,2016-08-09,0001135152,yahoo:FTI,ok
POM,2009-01-01,2016-03-23,0001135971,,no_price
ZBH,2009-01-01,,0001136869,yahoo:ZBH,ok
FIS,2009-01-01,,0001136893,yahoo:FIS,ok
COL,2009-01-01,2018-11-26,0001137411,tiingo:COL,ok
STX,2012-07-02,,0001137789,yahoo:STX,ok
ABC,2009-01-01,2023-08-29,0001140859,yahoo:COR,ok
COR,2023-08-30,,0001140859,yahoo:COR,ok
MA,2009-01-01,,0001141391,yahoo:MA,ok
CBE,2009-01-01,2009-09-08,0001141982,yahoo:CBE,ok
AYI,2016-05-03,2018-06-17,0001144215,yahoo:AYI,ok
BG,2023-03-15,2023-12-11,0001144519,yahoo:BG,ok
PODD,2023-03-15,,0001145197,yahoo:PODD,ok
AAP,2015-07-09,2023-08-24,0001158449,yahoo:AAP,ok
MWV,2009-01-01,2015-07-01,0001159297,tiingo:MWV,ok
COP,2009-01-01,,0001163165,yahoo:COP,ok
X,2009-01-01,2014-07-01,0001163302,tiingo:X,ok
NBR,2009-01-01,2015-03-22,0001163739,yahoo:NBR,ok
NEM,2009-01-01,,0001164727,yahoo:NEM,ok
JCP,2009-01-01,2013-12-01,0001166126,,no_price
CMCSA,2009-01-01,,0001166691,yahoo:CMCSA,ok
XEC,2014-06-20,2020-03-02,0001168054,tiingo:XEC,ok
KMX,2010-06-28,2025-10-30,0001170010,yahoo:KMX,ok
MHS,2009-01-01,2012-04-01,0001170650,tiingo:MHS,ok
WYNN,2009-01-01,,0001174922,yahoo:WYNN,ok
CPAY,2024-03-25,,0001175454,yahoo:CPAY,ok
FLT,2018-06-20,2024-03-24,0001175454,yahoo:CPAY,ok
TDG,2016-06-03,,0001260221,yahoo:TDG,ok
FTNT,2018-10-11,,0001262039,yahoo:FTNT,ok
HSP,2009-01-01,2015-09-02,0001274057,tiingo:HSP,ok
FSLR,2009-10-16,2017-03-19,0001274494,yahoo:FSLR,ok
FSLR,2022-12-19,,0001274494,yahoo:FSLR,ok
RAI,2009-01-01,2017-07-24,0001275283,tiingo:RAI,ok
MPWR,2021-02-12,,0001280452,yahoo:MPWR,ok
WIN,2009-01-01,2015-04-06,0001282266,,no_price
TMUS,2019-07-15,,0001283699,yahoo:TMUS,ok
MOS,2011-09-26,,0001285785,yahoo:MOS,ok
DPZ,2020-05-12,,0001286681,yahoo:DPZ,ok
GOOG,2014-04-03,2015-10-01,0001288776,yahoo:GOOG,ok
GOOGL,2009-01-01,2015-10-01,0001288776,yahoo:GOOGL,ok
LVS,2019-10-03,,0001300514,yahoo:LVS,ok
CE,2018-12-24,2025-03-23,0001306830,yahoo:CE,ok
FOX,2015-09-21,2018-10-08,0001308161,,no_price
FOXA,2009-01-01,2018-10-08,0001308161,,no_price
SHLD,2009-01-01,2012-09-04,0001310067,,no_price
BLDR,2023-12-18,,0001316835,yahoo:BLDR,ok
TSLA,2020-12-21,,0001318605,yahoo:TSLA,ok
PLTR,2024-09-23,,0001321655,yahoo:PLTR,ok
CF,2009-01-01,,0001324404,yahoo:CF,ok
EXPE,2009-01-01,,0001324424,yahoo:EXPE,ok
DUK,2009-01-01,,0001326160,yahoo:DUK,ok
GME,2009-01-01,2016-04-24,0001326380,yahoo:GME,ok
FB,2013-12-23,2022-06-08,0001326801,yahoo:META,ok
META,2022-06-09,,0001326801,yahoo:META,ok
PANW,2023-06-20,,0001327567,yahoo:PANW,ok
WDAY,2024-12-23,,0001327811,yahoo:WDAY,ok
LYV,2019-12-23,,0001335258,yahoo:LYV,ok
UA,2016-04-08,2022-06-20,0001336917,yahoo:UAA,ok
UAA,2014-05-01,2022-06-20,0001336917,yahoo:UAA,ok
LDOS,2009-12-21,2013-09-22,0001336920,yahoo:LDOS,ok
LDOS,2019-08-09,,0001336920,yahoo:LDOS,ok
VIAB,2009-01-01,2019-12-04,0001339947,tiingo:VIAB,ok
ORCL,2009-01-01,,0001341439,yahoo:ORCL,ok
EPAM,2021-12-14,2026-06-01,0001352010,yahoo:EPAM,ok
CXO,2016-02-22,2021-01-20,0001358071,tiingo:CXO,ok
HBI,2015-03-23,2021-12-19,0001359841,tiingo:HBI,ok
WYND,2009-01-01,2018-05-30,0001361658,yahoo:TNL,ok
WU,2009-01-01,2021-12-19,0001365135,yahoo:WU,ok
ETSY,2020-09-21,2024-09-22,0001370637,yahoo:ETSY,ok
NOW,2019-11-21,,0001373715,yahoo:NOW,ok
SE,2009-01-01,2017-02-26,0001373835,,no_price
SMCI,2024-03-18,,0001375365,yahoo:SMCI,ok
TWC,2009-03-30,2016-05-17,0001377013,tiingo:TWC,ok
BR,2018-06-18,,0001383312,yahoo:BR,ok
TE,2009-01-01,2016-06-30,0001385157,yahoo:TEL,ok
TEL,2009-01-01,2009-06-25,0001385157,yahoo:TEL,ok
TEL,2011-10-17,,0001385157,yahoo:TEL,ok
COV,2009-01-01,2009-06-04,0001385187,tiingo:COV,ok
COV,2011-03-01,2015-01-26,0001385187,tiingo:COV,ok
TRGP,2022-10-12,,0001389170,yahoo:TRGP,ok
VEEV,2026-05-07,,0001393052,yahoo:VEEV,ok
VMC,2009-01-01,,0001396009,yahoo:VMC,ok
LULU,2023-10-18,,0001397187,yahoo:LULU,ok
CDW,2019-09-23,,0001402057,yahoo:CDW,ok
V,2009-12-21,,0001403161,yahoo:V,ok
ULTA,2016-04-18,,0001403568,yahoo:ULTA,ok
MSCI,2018-04-04,,0001408198,yahoo:MSCI,ok
AWK,2016-03-04,,0001410636,yahoo:AWK,ok
PM,2009-01-01,,0001413329,yahoo:PM,ok
NXPI,2021-03-22,,0001413447,yahoo:NXPI,ok
ECHO,2026-06-24,,0001415404,yahoo:ECHO,ok
SATS,2026-03-23,2026-06-23,0001415404,yahoo:ECHO,ok
TWTR,2018-06-07,2022-10-31,0001418091,tiingo:TWTR,ok
KDP,2009-01-01,2018-07-01,0001418135,yahoo:KDP,ok
KDP,2022-06-21,,0001418135,yahoo:KDP,ok
CAM,2009-01-01,2016-04-03,0001419559,tiingo:CAM,ok
SEDG,2021-12-20,2023-12-17,0001419612,yahoo:SEDG,ok
LO,2009-01-01,2015-06-11,0001424847,tiingo:LO,ok
SNI,2009-01-01,2018-03-06,0001430602,tiingo:SNI,ok
DISCA,2010-03-01,2022-04-10,0001437107,yahoo:WBD,ok
DISCK,2014-08-07,2022-04-10,0001437107,yahoo:WBD,ok
WBD,2022-04-11,,0001437107,yahoo:WBD,ok
AVGO,2014-05-08,2017-02-14,0001441634,yahoo:AVGO,ok
VRSK,2015-10-08,,0001442145,yahoo:VRSK,ok
RIG,2013-10-29,2017-07-25,0001451505,yahoo:RIG,ok
MJN,2009-12-21,2017-06-14,0001452575,tiingo:MJN,ok
CFN,2009-09-01,2015-03-16,0001457543,tiingo:CFN,ok
ENPH,2021-01-07,2025-09-21,0001463101,yahoo:ENPH,ok
DTV,2009-01-01,2015-07-26,0001465112,,no_price
IR,2010-11-17,2017-02-27,0001466258,yahoo:TT,ok
TT,2020-03-03,,0001466258,yahoo:TT,ok
ACN,2011-07-06,,0001467373,yahoo:ACN,ok
GM,2013-06-07,,0001467858,yahoo:GM,ok
GNRC,2021-03-22,,0001474735,yahoo:GNRC,ok
IQV,2017-08-29,,0001478242,yahoo:IQV,ok
LYB,2012-09-05,,0001489393,yahoo:LYB,ok
CCE,2010-05-25,2016-05-30,0001491675,,no_price
CCEP,2016-01-04,2016-05-30,0001491675,yahoo:CCEP,ok
NLSN,2013-07-09,2022-10-11,0001492633,tiingo:NLSN,ok
HII,2018-01-03,,0001501585,yahoo:HII,ok
KMI,2012-05-25,,0001506307,yahoo:KMI,ok
MPC,2011-07-01,,0001510295,yahoo:MPC,ok
XYZ,2025-07-23,,0001512673,yahoo:XYZ,ok
NCLH,2017-10-13,,0001513761,yahoo:NCLH,ok
WPX,2012-01-03,2014-03-23,0001518832,tiingo:WPX,ok
FBHS,2016-06-24,2022-12-18,0001519751,yahoo:FBIN,ok
APTV,2012-12-24,,0001521332,yahoo:APTV,ok
XYL,2011-11-01,,0001524472,yahoo:XYL,ok
TRIP,2011-12-21,2019-12-22,0001526520,yahoo:TRIP,ok
CPRI,2016-01-04,2020-05-11,0001530721,yahoo:CPRI,ok
KORS,2013-11-13,2018-09-18,0001530721,yahoo:CPRI,ok
ESRX,2011-10-06,2018-12-20,0001532063,yahoo:ESRX,ok
PSX,2012-05-01,,0001534701,yahoo:PSX,ok
CRWD,2024-06-24,,0001535527,yahoo:CRWD,ok
FANG,2018-12-03,,0001539838,yahoo:FANG,ok
UBER,2023-12-18,,0001543151,yahoo:UBER,ok
KRFT,2012-10-02,2015-07-05,0001545158,tiingo:KRFT,ok
ADT,2012-10-02,2016-05-01,0001546640,,no_price
ABBV,2013-01-02,,0001551152,yahoo:ABBV,ok
ETN,2012-06-22,,0001551182,yahoo:ETN,ok
ZTS,2013-06-24,,0001555280,yahoo:ZTS,ok
ABNB,2023-09-18,,0001559720,yahoo:ABNB,ok
DDOG,2025-07-09,,0001561550,yahoo:DDOG,ok
NWS,2015-09-21,,0001564708,yahoo:NWSA,ok
NWSA,2013-07-01,,0001564708,yahoo:NWSA,ok
MNK,2014-08-19,2017-07-25,0001567892,,no_price
DELL,2024-09-23,,0001571996,yahoo:DELL,ok
EVHC,2016-12-02,2018-10-10,0001578318,yahoo:EVHC,ok
AGN,2013-06-18,2020-05-11,0001578845,tiingo:AGN,ok
ALLE,2013-12-02,,0001579241,yahoo:ALLE,ok
PRGO,2013-08-28,2021-09-19,0001585364,yahoo:PRGO,ok
HLT,2017-06-19,,0001585689,yahoo:HLT,ok
CZR,2021-03-22,2025-09-21,0001590895,yahoo:CZR,ok
PAYC,2020-01-28,2026-03-22,0001590955,yahoo:PAYC,ok
ENDP,2015-01-27,2017-03-01,0001593034,,no_price
ANET,2018-08-28,,0001596532,yahoo:ANET,ok
CTLT,2020-09-21,2024-12-22,0001596783,tiingo:CTLT,ok
INFO,2017-06-02,2022-03-01,0001598014,,no_price
KEYS,2018-11-06,,0001601046,yahoo:KEYS,ok
QRVO,2015-06-12,2024-12-22,0001604778,yahoo:QRVO,ok
GDDY,2024-06-24,,0001609711,yahoo:GDDY,ok
MDT,2014-07-14,,0001613103,yahoo:MDT,ok
WBA,2014-09-16,2025-08-27,0001618921,tiingo:WBA,ok
MYL,2014-11-05,2020-11-16,0001623613,tiingo:MYL,ok
PYPL,2015-07-20,,0001633917,yahoo:PYPL,ok
LITE,2026-03-23,,0001633978,yahoo:LITE,ok
WRK,2015-07-02,2018-03-27,0001636023,,no_price
KHC,2015-07-06,,0001637459,yahoo:KHC,ok
HPE,2015-11-02,,0001645590,yahoo:HPE,ok
CSRA,2015-11-30,2018-04-03,0001646383,,no_price
AVGO,2017-02-15,2019-02-08,0001649338,yahoo:AVGO,ok
GOOG,2015-10-02,,0001652044,yahoo:GOOG,ok
GOOGL,2015-10-02,,0001652044,yahoo:GOOGL,ok
FTV,2016-07-05,,0001659166,yahoo:FTV,ok
DD,2019-06-03,,0001666700,yahoo:CTA-PB,ok
DWDP,2017-09-01,2019-06-02,0001666700,yahoo:DD,ok
TTD,2025-07-18,,0001671933,yahoo:TTD,ok
VRT,2026-03-23,,0001674101,yahoo:VRT,ok
LW,2018-12-03,2026-03-22,0001679273,yahoo:LW,ok
FTI,2016-08-10,2021-02-11,0001681459,yahoo:FTI,ok
MRNA,2021-07-21,,0001682852,yahoo:MRNA,ok
DXC,2017-04-04,2023-10-01,0001688568,yahoo:DXC,ok
CVNA,2025-12-22,,0001690820,yahoo:CVNA,ok
VST,2024-05-08,,0001692819,yahoo:VST,ok
IR,2017-02-28,,0001699150,yahoo:TT,ok
BHGE,2017-03-29,2019-10-17,0001701605,tiingo:BHGE,partial
BKR,2019-10-18,,0001701605,yahoo:BKR,ok
LIN,2018-11-06,,0001707925,yahoo:LIN,ok
EVRG,2018-06-05,,0001711269,yahoo:EVRG,ok
CDAY,2021-09-20,2024-01-31,0001725057,,no_price
DAY,2024-02-01,2026-02-08,0001725057,tiingo:DAY,ok
AVGO,2019-02-09,,0001730168,yahoo:AVGO,ok
WRK,2018-03-28,2024-07-07,0001732845,tiingo:WRK,partial
DIS,2018-06-25,,0001744489,yahoo:DIS,ok
AMCR,2019-06-07,,0001748790,yahoo:AMCR,ok
APP,2025-09-22,,0001751008,yahoo:APP,ok
DOW,2019-04-02,,0001751788,yahoo:DOW,ok
FOX,2018-10-09,,0001754301,yahoo:FOX,partial
FOXA,2018-10-09,,0001754301,yahoo:FOXA,partial
CTVA,2019-06-03,,0001755672,yahoo:CTVA,ok
STE,2019-12-23,,0001757898,yahoo:STE,ok
XRX,2019-03-15,2021-03-21,0001770450,yahoo:XRX,ok
OTIS,2020-04-03,,0001781335,yahoo:OTIS,ok
CARR,2020-04-03,,0001783180,yahoo:CARR,ok
VNT,2020-10-12,2021-03-21,0001786842,yahoo:VNT,ok
VTRS,2020-11-17,,0001792044,yahoo:VTRS,ok
DASH,2025-03-24,,0001792789,yahoo:DASH,ok
OGN,2021-06-04,2023-10-17,0001821825,yahoo:OGN,ok
PARA,2022-02-17,2025-08-07,0001826011,yahoo:PARA,ok
MRVL,2026-06-22,,0001835632,yahoo:MRVL,ok
APA,2021-03-01,,0001841666,yahoo:APA,ok
CEG,2022-02-02,,0001868275,yahoo:CEG,ok
GEHC,2023-01-04,,0001932393,yahoo:GEHC,ok
KVUE,2023-08-25,,0001944048,yahoo:KVUE,ok
SOLV,2024-04-01,,0001964738,yahoo:SOLV,ok
VLTO,2023-10-02,,0001967680,yahoo:VLTO,ok
TKO,2025-03-24,,0001973266,yahoo:TKO,ok
GEV,2024-04-02,,0001996810,yahoo:GEV,ok
BG,2023-12-12,,0001996862,yahoo:BG,ok
SW,2024-07-08,,0002005951,yahoo:SW,ok
AMTM,2024-09-30,2024-12-22,0002011286,yahoo:AMTM,ok
SNDK,2025-11-28,,0002023554,yahoo:SNDK,ok
PSKY,2025-08-08,,0002041610,yahoo:PSKY,ok
Q,2025-11-03,,0002058873,yahoo:Q,ok
SOLS,2025-10-30,2025-12-21,0002064953,yahoo:SOLS,ok
FDXF,2026-06-01,,0002082247,yahoo:FDXF,ok
HONA,2026-06-29,,0002089271,yahoo:HONA,ok
XOM,2026-07-01,,0002115436,yahoo:XOM,ok
