cik,name,ticker,exchange,ticker_source,sic,years
0001521332,Aptiv PLC,APTV,NYSE,submissions,3714,10
0001551182,Eaton Corp plc,ETN,NYSE,submissions,3590,10
0000842162,LEAR CORP,LEA,NYSE,submissions,3714,10
0001600508,H. J. Heinz Corp II,,,,2030,4
0001032208,SEMPRA,SRE,NYSE,submissions,4932,10
0001157806,ENCANA CORP,,,,1311,3
0000936340,DTE ENERGY CO,DTE,NYSE,submissions,4911,8
0000023666,Hillshire Brands Co,,,,2000,2
0000093556,"STANLEY BLACK & DECKER, INC.",SWK,NYSE,submissions,3420,10
0001091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Nasdaq,submissions,4841,10
0001037016,NII HOLDINGS INC,NIHD,,primary_document,4812,2
0001022671,STEEL DYNAMICS INC,STLD,Nasdaq,submissions,3312,10
0000918160,Cleveland-Cliffs Steel Holding Corp,,,,3312,4
0000746515,EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,NYSE,submissions,4731,7
0001378453,TravelCenters of America Inc. /MD/,TA,,primary_document,5500,5
0000110430,FRONTIER OIL CORP /NEW/,,,,2911,1
0000915389,EASTMAN CHEMICAL CO,EMN,NYSE,submissions,2821,10
0000908255,BORGWARNER INC,BWA,NYSE,submissions,3714,10
0001067428,ANGLOGOLD ASHANTI (PTY) LTD,AU,,primary_document,1040,3
0001001838,SOUTHERN COPPER CORP/,SCCO,NYSE,submissions,1000,5
0001002047,"NetApp, Inc.",NTAP,Nasdaq,submissions,3572,4
0001335258,"Live Nation Entertainment, Inc.",LYV,NYSE,submissions,7900,8
0001116521,AVAYA INC,AVAYA,,primary_document,3661,1
0001489393,LyondellBasell Industries N.V.,LYB,NYSE,submissions,2860,9
0001581990,PLAINS GP HOLDINGS LP,PAGP,Nasdaq,submissions,4610,9
0001567094,CNH Industrial N.V.,CNH,NYSE,submissions,3531,9
0000831259,FREEPORT-MCMORAN INC,FCX,NYSE,submissions,1000,9
0001283699,"T-Mobile US, Inc.",TMUS,Nasdaq,submissions,4812,9
0001561951,"US FOODS, INC.",,,,5140,5
0000015511,BNSF RAILWAY CO,,,,4011,7
0001573516,Murphy USA Inc.,MUSA,NYSE,submissions,5500,9
0001551152,AbbVie Inc.,ABBV,NYSE,submissions,2834,9
0001562039,"CST BRANDS, LLC",,,,5500,6
0001034563,ICAHN ENTERPRISES HOLDINGS L.P.,TMB,,primary_document,3714,5
0000880285,ENBRIDGE ENERGY PARTNERS LP,,,,4610,4
0001578685,"Midcoast Energy Partners, L.P.",,,,4923,1
0001164727,NEWMONT Corp /DE/,NEM,NYSE,submissions,1040,8
0001570585,Liberty Global Ltd.,LBTYA,Nasdaq,submissions,4841,9
0001254699,"QVC Group, Inc.",QVCG,Nasdaq,submissions,5961,9
0001111335,VISTEON CORP,VC,Nasdaq,submissions,3714,3
0000895516,"SPECTRUM GROUP INTERNATIONAL, INC.",,,,5094,3
0001351541,"Delek US Energy, Inc.",,,,2911,4
0001301063,"Alpha Natural Resources, Inc.",ANR,,primary_document,1221,2
0001344376,AEGEAN MARINE PETROLEUM NETWORK INC.,,,,5172,4
0001573097,"HD Supply Holdings, Inc.",HDS,,primary_document,5000,4
0000352915,UNIVERSAL HEALTH SERVICES INC,UHS,NYSE,submissions,8062,9
0000764065,CLEVELAND-CLIFFS INC.,CLF,NYSE,submissions,1000,1
0001046257,Ingredion Inc,INGR,NYSE,submissions,2040,3
0001110805,NuStar Energy L.P.,NS,,primary_document,4610,1
0001457737,"iHeartMedia Capital I, LLC",,,,4813,4
0000097216,TEREX CORP,TEX,NYSE,submissions,3537,3
0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,Nasdaq,submissions,7371,9
0001324404,"CF Industries Holdings, Inc.",CF,NYSE,submissions,2870,2
0001163739,NABORS INDUSTRIES LTD,NBR,NYSE,submissions,1381,4
0001024478,"ROCKWELL AUTOMATION, INC",ROK,NYSE,submissions,3829,6
0000078239,PVH CORP. /DE/,PVH,NYSE,submissions,2320,9
0001534504,PBF Energy Inc.,PBF,NYSE,submissions,2911,8
0001637459,Kraft Heinz Co,KHC,Nasdaq,submissions,2030,6
0001613103,Medtronic plc,MDT,NYSE,submissions,3845,8
0001603923,Weatherford International plc,WFRD,Nasdaq,submissions,3533,4
0001584509,Aramark,ARMK,NYSE,submissions,5812,6
0000230498,Rock-Tenn CO,,,,2650,3
0001585689,Hilton Worldwide Holdings Inc.,HLT,NYSE,submissions,7011,8
0000068622,QWEST CORP,CTGG,NYSE,company_tickers_exchange,4813,8
0001564708,NEWS CORP,NWSA,Nasdaq,submissions,2711,8
0001376139,CVR ENERGY INC,CVI,NYSE,submissions,2911,4
0001558785,"CVR Refining, LP",,,,2911,3
0001591588,"Gold.com, Inc.",GOLD,NYSE,submissions,5094,5
0001012100,SEALED AIR CORP/DE,SEE,,primary_document,2820,3
0001483096,WILLIAMS PARTNERS L.P.,,,,4922,6
0001623613,Mylan II B.V.,,,,2834,8
0000794323,"Level 3 Parent, LLC",LUMN,,primary_document,4813,8
0000088121,SEABOARD CORP /DE/,SEB,NYSE,submissions,5150,4
0001135152,FMC TECHNOLOGIES INC,,,,3533,4
0001282266,"WINDSTREAM HOLDINGS, INC.",,,,4813,1
0000886035,GENERAL CABLE CORP /DE/,BGC,,primary_document,3357,2
0001599489,Veritiv Corp,VRTV,,primary_document,5110,7
0001618921,"Walgreens Boots Alliance, Inc.",WBA,,primary_document,5912,7
0001645590,Hewlett Packard Enterprise Co,HPE,NYSE,submissions,3570,7
0001652044,Alphabet Inc.,GOOGL,Nasdaq,submissions,7370,7
0001647339,Accenture Holdings plc,,,,7389,5
0000006201,American Airlines Group Inc.,AAL,Nasdaq,submissions,4512,7
0001645026,PBF Energy Co LLC,PBF,,primary_document,2911,3
0001618673,Performance Food Group Co,PFGC,NYSE,submissions,5141,5
0001494319,Univar Solutions Inc.,UNVR,,primary_document,5160,7
0001504461,NGL Energy Partners LP,NGL,NYSE,submissions,4922,7
0001636023,WRKCo Inc.,,,,2650,5
0001326801,"Meta Platforms, Inc.",META,Nasdaq,submissions,7370,7
0000055387,KENTUCKY UTILITIES CO,PPL,,primary_document,4911,3
0000077360,PENTAIR plc,PNR,NYSE,submissions,3550,1
0000875045,BIOGEN INC.,BIIB,Nasdaq,submissions,2836,7
0001627223,Chemours Co,CC,NYSE,submissions,2800,2
0001075531,Booking Holdings Inc.,BKNG,Nasdaq,submissions,4700,7
0001633917,"PayPal Holdings, Inc.",PYPL,Nasdaq,submissions,7389,7
0000816284,CELGENE CORP /DE/,,,,2834,6
0000882184,HORTON D R INC /DE/,DHI,NYSE,submissions,1531,7
0001361709,Susser Holdings CORP,,,,5412,1
0001089063,"DICK'S SPORTING GOODS, INC.",DKS,NYSE,submissions,5940,7
0001000180,SANDISK CORP,,,,3572,2
0001571996,Dell Technologies Inc.,DELL,NYSE,submissions,3571,6
0001665918,US Foods Holding Corp.,USFD,NYSE,submissions,5140,6
0001549802,"JD.com, Inc.",JD,Nasdaq,submissions,5990,6
0001638058,"ETP Retail Holdings, LLC",,,,,1
0001338065,"DCP Midstream, LP",DPM,,primary_document,4922,6
0001675149,Alcoa Corp,AA,NYSE,submissions,3334,6
0001577552,Alibaba Group Holding Ltd,BABA,NYSE,submissions,7389,6
0001039101,"L3 TECHNOLOGIES, INC.",,,,3663,5
0001657853,"HERTZ GLOBAL HOLDINGS, INC",HTZ,Nasdaq,submissions,7510,6
0001271833,CCO HOLDINGS LLC,CCOH,,primary_document,4841,6
0000885590,Bausch Health Companies Inc.,BHC,NYSE,submissions,2834,6
0000877422,SpartanNash Co,SPTN,,primary_document,5141,6
0001329099,"Baidu, Inc.",BIDU,Nasdaq,submissions,7370,6
0000920760,LENNAR CORP /NEW/,LEN,NYSE,submissions,1520,6
0001677703,CONDUENT Inc,CNDT,Nasdaq,submissions,7389,3
0001673358,"Yum China Holdings, Inc.",YUMC,NYSE,submissions,5812,6
0001364885,"Spirit AeroSystems Holdings, Inc.",SPR,,primary_document,3728,6
0001020859,UNITED NATURAL FOODS INC,UNFI,NYSE,submissions,5141,6
0001065696,LKQ CORP,LKQ,Nasdaq,submissions,5010,6
0000016918,"CONSTELLATION BRANDS, INC.",STZ,NYSE,submissions,2080,6
0001646972,"Albertsons Companies, Inc.",ACI,NYSE,submissions,5411,5
0001666700,"DuPont de Nemours, Inc.",DD,NYSE,submissions,2821,5
0000742278,RPC INC,RES,NYSE,submissions,1389,1
0001670541,Adient plc,ADNT,NYSE,submissions,3714,5
0001701605,Baker Hughes Co,BKR,Nasdaq,submissions,3533,5
0000048039,HollyFrontier Corp,HFC,,primary_document,2911,5
0001578845,Allergan plc,,,,2834,5
0001552275,Sunoco LP,SUN,NYSE,submissions,2911,5
0001681459,TechnipFMC plc,FTI,NYSE,submissions,3533,5
0001023128,LITHIA MOTORS INC,LAD,NYSE,submissions,5500,5
0001166003,"XPO, Inc.",XPO,NYSE,submissions,4700,5
0001688568,DXC Technology Co,DXC,NYSE,submissions,7374,5
0001441634,Avago Technologies LTD,AVGO,,primary_document,3674,1
0001649338,Broadcom Pte. Ltd.,AVGO,,primary_document,3674,3
0001649345,Broadcom Cayman L.P.,AVGO,,primary_document,3674,2
0001065280,NETFLIX INC,NFLX,Nasdaq,submissions,7841,5
0001324424,"Expedia Group, Inc.",EXPE,Nasdaq,submissions,4700,5
0001108524,"Salesforce, Inc.",CRM,NYSE,submissions,7372,5
0001144980,ASBURY AUTOMOTIVE GROUP INC,ABG,NYSE,submissions,5500,3
0001124610,VMWARE LLC,VMW,,primary_document,7372,5
0000832988,SIGNET JEWELERS LTD,SIG,NYSE,submissions,5944,2
0000936402,Shire plc,,,,2834,3
0001437107,"Warner Bros. Discovery, Inc.",WBD,Nasdaq,submissions,4841,5
0000099780,TRINITY INDUSTRIES INC,TRN,NYSE,submissions,3743,1
0001136893,"Fidelity National Information Services, Inc.",FIS,NYSE,submissions,7389,5
0000916365,TRACTOR SUPPLY CO /DE/,TSCO,Nasdaq,submissions,5200,5
0001529192,Vipshop Holdings Ltd,VIPS,NYSE,submissions,5961,3
0000728535,HUNT J B TRANSPORT SERVICES INC,JBHT,Nasdaq,submissions,4213,3
0001659166,Fortive Corp,FTV,NYSE,submissions,3823,1
0000800459,HARMAN INTERNATIONAL INDUSTRIES INC /DE/,,,,3651,2
0001620546,Baxalta Inc,,,,2834,1
0000205402,GRAYBAR ELECTRIC CO INC,,,,5063,3
0001413447,NXP Semiconductors N.V.,NXPI,Nasdaq,submissions,3674,5
0001744489,Walt Disney Co,DIS,NYSE,submissions,7990,4
0000070318,TENET HEALTHCARE CORP,THC,NYSE,submissions,8062,4
0000871763,ManpowerGroup Inc.,MAN,NYSE,submissions,7363,4
0001108109,COMMUNITY HEALTH SYSTEMS INC,CYH,NYSE,submissions,8062,4
0001732845,WestRock Co,WRK,,primary_document,2650,4
0001730168,Broadcom Inc.,AVGO,Nasdaq,submissions,3674,4
0001531152,"BJ's Wholesale Club Holdings, Inc.",BJ,NYSE,submissions,5331,4
0000927066,DAVITA INC.,DVA,NYSE,submissions,8090,4
0001707925,LINDE PLC,LIN,Nasdaq,submissions,2810,4
0000020520,"Frontier Communications Parent, Inc.",FYBR,,primary_document,4813,4
0000723612,"AVIS BUDGET GROUP, INC.",CAR,Nasdaq,submissions,7510,4
0000707549,LAM RESEARCH CORP,LRCX,Nasdaq,submissions,3559,3
0001136869,"ZIMMER BIOMET HOLDINGS, INC.",ZBH,NYSE,submissions,3842,4
0000822416,PULTEGROUP INC/MI/,PHM,NYSE,submissions,1531,4
0001050915,"QUANTA SERVICES, INC.",PWR,NYSE,submissions,1731,4
0000783325,"WEC ENERGY GROUP, INC.",WEC,NYSE,submissions,4931,4
0001318605,"Tesla, Inc.",TSLA,Nasdaq,submissions,3711,4
0001498301,"Mahwah Bergen Retail Group, Inc.",ASNA,,primary_document,5600,1
0001045810,NVIDIA CORP,NVDA,Nasdaq,submissions,3674,4
0001478242,IQVIA HOLDINGS INC.,IQV,NYSE,submissions,8731,4
0001645494,ARRIS International plc,,,,3663,1
0001379661,Targa Resources Partners LP,,,,4922,4
0001389170,Targa Resources Corp.,TRGP,NYSE,submissions,4922,4
0000718877,"Activision Blizzard, Inc.",ATVI,,primary_document,7372,3
0000024545,MOLSON COORS BEVERAGE CO,TAP-A,NYSE,submissions,2082,4
0001158463,JETBLUE AIRWAYS CORP,JBLU,Nasdaq,submissions,4512,4
0001378992,"BERRY GLOBAL GROUP, INC.",,,,3089,4
0000878560,"CalAtlantic Group, LLC",,,,1531,1
0001566011,PBF Holding Co LLC,PBF,,primary_document,2911,3
0000868857,AECOM,ACM,NYSE,submissions,8711,3
0001669600,"Liberty Expedia Holdings, Inc.",LEXE,,primary_document,5960,2
0001770450,Xerox Holdings Corp,XRX,Nasdaq,submissions,3577,3
0001754301,Fox Corp,FOXA,Nasdaq,submissions,4833,3
0001702780,"Optimum Communications, Inc.",OPTU,NYSE,submissions,4841,3
0001748790,Amcor plc,AMCR,NYSE,submissions,3990,3
0001110646,"NetEase, Inc.",NTES,Nasdaq,submissions,7372,3
0001262823,WESTLAKE CORP,WLK,NYSE,submissions,2860,3
0000766421,"ALASKA AIR GROUP, INC.",ALK,NYSE,submissions,4512,3
0001543151,"Uber Technologies, Inc",UBER,NYSE,submissions,7389,3
0001678531,Envision Healthcare Corp,EVHC,,primary_document,8011,1
0001024305,COTY INC.,COTY,NYSE,submissions,2844,2
0001560385,Liberty Media Corp,FWONA,Nasdaq,submissions,4833,3
0000796343,ADOBE INC.,ADBE,Nasdaq,submissions,7372,3
0001694426,"Delek US Holdings, Inc.",DK,NYSE,submissions,2911,3
0000730263,THOR INDUSTRIES INC,THO,NYSE,submissions,3716,3
0001316835,"Builders FirstSource, Inc.",BLDR,NYSE,submissions,5211,3
0000820313,AMPHENOL CORP /DE/,APH,NYSE,submissions,3678,3
0001137411,ROCKWELL COLLINS INC,,,,3728,2
0000932696,INSIGHT ENTERPRISES INC,NSIT,Nasdaq,submissions,5961,3
0001751788,DOW INC.,DOW,NYSE,submissions,2821,2
0001783180,CARRIER GLOBAL Corp,CARR,NYSE,submissions,3585,2
0001506983,"Glucotrack, Inc.",GCTK,Nasdaq,submissions,3841,1
0001755672,"Corteva, Inc.",CTVA,NYSE,submissions,0100,2
0001781335,Otis Worldwide Corp,OTIS,NYSE,submissions,3600,2
0001792044,Viatris Inc,VTRS,Nasdaq,submissions,2834,2
0001692819,Vistra Corp.,VST,NYSE,submissions,4911,2
0001038357,PIONEER NATURAL RESOURCES CO,PXD,,primary_document,1311,2
0001067701,"UNITED RENTALS, INC.",URI,NYSE,submissions,7359,2
0000003570,"Cheniere Energy, Inc.",LNG,NYSE,submissions,4924,2
0000006769,APACHE CORP,APA,,primary_document,1311,1
0001179060,"EnLink Midstream Partners, LP",ENLC,,primary_document,4922,1
0001592000,"EnLink Midstream, LLC",ENLC,,primary_document,4922,1
0001790982,Arconic Corp,ARNC,,primary_document,3350,2
0000019411,MAGELLAN HEALTH INC,MGLN,,primary_document,8060,1
0001062231,Dauch Corp,DCH,NYSE,submissions,3714,1
0000906163,NVR INC,NVR,NYSE,submissions,1531,2
0000794170,"Toll Brothers, Inc.",TOL,NYSE,submissions,1531,1
0000075677,PACKAGING CORP OF AMERICA,PKG,NYSE,submissions,2650,2
0001552000,MPLX LP,MPLX,NYSE,submissions,4610,2
0000074303,OLIN Corp,OLN,NYSE,submissions,2800,1
0000015615,MASTEC INC,MTZ,NYSE,submissions,1623,2
0000860730,"HCA Healthcare, Inc.",HCA,NYSE,submissions,8062,1
0001867072,"Kyndryl Holdings, Inc.",KD,NYSE,submissions,7373,1
0001915657,HF Sinclair Corp,DINO,NYSE,submissions,4610,1
0000798354,FISERV INC,FISV,Nasdaq,submissions,7389,1
0001616707,Wayfair Inc.,W,NYSE,submissions,5961,1
0000708819,MCDERMOTT INTERNATIONAL INC,,,,3443,1
0001517228,"Vistance Networks, Inc.",VISN,Nasdaq,submissions,3663,1
0000943452,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,WAB,NYSE,submissions,3743,1
0000821026,"Andersons, Inc.",ANDE,Nasdaq,submissions,5150,1
0000908937,SIRIUS XM HOLDINGS INC.,SIRI,Nasdaq,submissions,4832,1
0001821825,Organon & Co.,OGN,NYSE,submissions,2834,1
0001856437,Victoria's Secret & Co.,VSXY,NYSE,submissions,5621,1
0001443646,Booz Allen Hamilton Holding Corp,BAH,NYSE,submissions,8742,1
0001403568,"Ulta Beauty, Inc.",ULTA,Nasdaq,submissions,5990,1
0001579298,"Burlington Stores, Inc.",BURL,NYSE,submissions,5311,1
0000723254,CINTAS CORP,CTAS,Nasdaq,submissions,2320,1
0001792580,Ovintiv Inc.,OVV,NYSE,submissions,1311,1
0001383650,"Cheniere Energy Partners, L.P.",CQP,NYSE,submissions,4924,1
0000896878,INTUIT INC.,INTU,Nasdaq,submissions,7372,1
0000931015,Polaris Inc.,PII,NYSE,submissions,3790,1
